索引,地区,日期,新增确诊,新增死亡
0,阿富汗,2020/02/24,5,
1,阿富汗,2020/02/25,0,
2,阿富汗,2020/02/26,0,
3,阿富汗,2020/02/27,0,
4,阿富汗,2020/02/28,0,
5,阿富汗,2020/02/29,0,
6,阿富汗,2020/03/01,0,
7,阿富汗,2020/03/02,0,
8,阿富汗,2020/03/03,0,
9,阿富汗,2020/03/04,0,
10,阿富汗,2020/03/05,0,
11,阿富汗,2020/03/06,0,
12,阿富汗,2020/03/07,3,
13,阿富汗,2020/03/08,0,
14,阿富汗,2020/03/09,0,
15,阿富汗,2020/03/10,0,
16,阿富汗,2020/03/11,3,
17,阿富汗,2020/03/12,0,
18,阿富汗,2020/03/13,0,
19,阿富汗,2020/03/14,3,
20,阿富汗,2020/03/15,6,
21,阿富汗,2020/03/16,5,
22,阿富汗,2020/03/17,1,
23,阿富汗,2020/03/18,0,
24,阿富汗,2020/03/19,0,
25,阿富汗,2020/03/20,-2,
26,阿富汗,2020/03/21,0,
27,阿富汗,2020/03/22,10,
28,阿富汗,2020/03/23,6,1
29,阿富汗,2020/03/24,2,0
30,阿富汗,2020/03/25,32,0
31,阿富汗,2020/03/26,6,1
32,阿富汗,2020/03/27,11,0
33,阿富汗,2020/03/28,15,0
34,阿富汗,2020/03/29,8,2
35,阿富汗,2020/03/30,0,0
36,阿富汗,2020/03/31,52,0
37,阿富汗,2020/04/01,26,0
38,阿富汗,2020/04/02,43,0
39,阿富汗,2020/04/03,34,1
40,阿富汗,2020/04/04,1,0
41,阿富汗,2020/04/05,29,2
42,阿富汗,2020/04/06,38,0
43,阿富汗,2020/04/07,30,4
44,阿富汗,2020/04/08,56,3
45,阿富汗,2020/04/09,21,1
46,阿富汗,2020/04/10,77,0
47,阿富汗,2020/04/11,0,0
48,阿富汗,2020/04/12,34,3
49,阿富汗,2020/04/13,52,1
50,阿富汗,2020/04/14,58,3
51,阿富汗,2020/04/15,105,3
52,阿富汗,2020/04/16,24,4
53,阿富汗,2020/04/17,51,1
54,阿富汗,2020/04/18,63,0
55,阿富汗,2020/04/19,25,0
56,阿富汗,2020/04/20,63,3
57,阿富汗,2020/04/21,30,3
58,阿富汗,2020/04/22,66,0
59,阿富汗,2020/04/23,84,4
60,阿富汗,2020/04/24,50,0
61,阿富汗,2020/04/25,104,3
62,阿富汗,2020/04/26,133,6
63,阿富汗,2020/04/27,68,1
64,阿富汗,2020/04/28,172,10
65,阿富汗,2020/04/29,124,0
66,阿富汗,2020/04/30,0,0
67,阿富汗,2020/05/01,344,4
68,阿富汗,2020/05/02,298,8
69,阿富汗,2020/05/03,0,0
70,阿富汗,2020/05/04,0,0
71,阿富汗,2020/05/05,0,0
72,阿富汗,2020/05/06,755,23
73,阿富汗,2020/05/07,168,9
74,阿富汗,2020/05/08,171,1
75,阿富汗,2020/05/09,0,0
76,阿富汗,2020/05/10,839,14
77,阿富汗,2020/05/11,262,1
78,阿富汗,2020/05/12,303,7
79,阿富汗,2020/05/13,0,0
80,阿富汗,2020/05/14,372,9
81,阿富汗,2020/05/15,714,17
82,阿富汗,2020/05/16,349,15
83,阿富汗,2020/05/17,233,1
84,阿富汗,2020/05/18,437,4
85,阿富汗,2020/05/19,583,4
86,阿富汗,2020/05/20,490,10
87,阿富汗,2020/05/21,531,6
88,阿富汗,2020/05/22,540,12
89,阿富汗,2020/05/23,736,10
90,阿富汗,2020/05/24,716,7
91,阿富汗,2020/05/25,512,1
92,阿富汗,2020/05/26,737,1
93,阿富汗,2020/05/27,548,6
94,阿富汗,2020/05/28,637,9
95,阿富汗,2020/05/29,643,11
96,阿富汗,2020/05/30,784,2
97,阿富汗,2020/05/31,651,2
98,阿富汗,2020/06/01,656,15
99,阿富汗,2020/06/02,742,5
100,阿富汗,2020/06/03,775,24
101,阿富汗,2020/06/04,624,5
102,阿富汗,2020/06/05,1078,10
103,阿富汗,2020/06/06,582,18
104,阿富汗,2020/06/07,791,30
105,阿富汗,2020/06/08,575,12
106,阿富汗,2020/06/09,305,7
107,阿富汗,2020/06/10,920,29
108,阿富汗,2020/06/11,748,21
109,阿富汗,2020/06/12,656,20
110,阿富汗,2020/06/13,556,5
111,阿富汗,2020/06/14,664,20
112,阿富汗,2020/06/15,761,5
113,阿富汗,2020/06/16,106,8
114,阿富汗,2020/06/17,1241,20
115,阿富汗,2020/06/18,463,42
116,阿富汗,2020/06/19,541,2
117,阿富汗,2020/06/20,419,0
118,阿富汗,2020/06/21,536,33
119,阿富汗,2020/06/22,310,17
120,阿富汗,2020/06/23,338,20
121,阿富汗,2020/06/24,159,21
122,阿富汗,2020/06/25,535,36
123,阿富汗,2020/06/26,85,5
124,阿富汗,2020/06/27,356,23
125,阿富汗,2020/06/28,351,26
126,阿富汗,2020/06/29,271,4
127,阿富汗,2020/06/30,121,2
128,阿富汗,2020/07/01,403,39
129,阿富汗,2020/07/02,260,33
130,阿富汗,2020/07/03,302,12
131,阿富汗,2020/07/04,348,7
132,阿富汗,2020/07/05,279,38
133,阿富汗,2020/07/06,113,23
134,阿富汗,2020/07/07,320,33
135,阿富汗,2020/07/08,210,16
136,阿富汗,2020/07/09,59,1
137,阿富汗,2020/07/10,541,34
138,阿富汗,2020/07/11,157,4
139,阿富汗,2020/07/12,100,35
140,阿富汗,2020/07/13,4,2
141,阿富汗,2020/07/14,285,33
142,阿富汗,2020/07/15,200,49
143,阿富汗,2020/07/16,130,19
144,阿富汗,2020/07/17,159,34
145,阿富汗,2020/07/18,60,0
146,阿富汗,2020/07/19,186,34
147,阿富汗,2020/07/20,34,2
148,阿富汗,2020/07/21,106,1
149,阿富汗,2020/07/22,112,6
150,阿富汗,2020/07/23,188,21
151,阿富汗,2020/07/24,66,14
152,阿富汗,2020/07/25,55,21
153,阿富汗,2020/07/26,121,13
154,阿富汗,2020/07/27,106,10
155,阿富汗,2020/07/28,105,1
156,阿富汗,2020/07/29,103,1
157,阿富汗,2020/07/30,71,0
158,阿富汗,2020/07/31,0,0
159,阿富汗,2020/08/01,168,12
160,阿富汗,2020/08/02,0,0
161,阿富汗,2020/08/03,0,0
162,阿富汗,2020/08/04,37,5
163,阿富汗,2020/08/05,82,6
164,阿富汗,2020/08/06,67,4
165,阿富汗,2020/08/07,41,0
166,阿富汗,2020/08/08,78,9
167,阿富汗,2020/08/09,39,5
168,阿富汗,2020/08/10,0,0
169,阿富汗,2020/08/11,215,32
170,阿富汗,2020/08/12,76,10
171,阿富汗,2020/08/13,79,9
172,阿富汗,2020/08/14,7,0
173,阿富汗,2020/08/15,120,7
174,阿富汗,2020/08/16,45,5
175,阿富汗,2020/08/17,0,0
176,阿富汗,2020/08/18,3,0
177,阿富汗,2020/08/19,0,0
178,阿富汗,2020/08/20,160,8
179,阿富汗,2020/08/21,97,2
180,阿富汗,2020/08/22,38,0
181,阿富汗,2020/08/23,59,0
182,阿富汗,2020/08/24,46,2
183,阿富汗,2020/08/25,71,10
184,阿富汗,2020/08/26,43,4
185,阿富汗,2020/08/27,16,0
186,阿富汗,2020/08/28,11,1
187,阿富汗,2020/08/29,3,0
188,阿富汗,2020/08/30,0,0
1469,阿尔巴尼亚,2020/02/25,,
1470,阿尔巴尼亚,2020/02/26,,
1471,阿尔巴尼亚,2020/02/27,,
1472,阿尔巴尼亚,2020/02/28,,
1473,阿尔巴尼亚,2020/02/29,,
1474,阿尔巴尼亚,2020/03/01,,
1475,阿尔巴尼亚,2020/03/02,,
1476,阿尔巴尼亚,2020/03/03,,
1477,阿尔巴尼亚,2020/03/04,,
1478,阿尔巴尼亚,2020/03/05,,
1479,阿尔巴尼亚,2020/03/06,,
1480,阿尔巴尼亚,2020/03/07,,
1481,阿尔巴尼亚,2020/03/08,,
1482,阿尔巴尼亚,2020/03/09,2,
1483,阿尔巴尼亚,2020/03/10,8,
1484,阿尔巴尼亚,2020/03/11,2,1
1485,阿尔巴尼亚,2020/03/12,11,0
1486,阿尔巴尼亚,2020/03/13,10,0
1487,阿尔巴尼亚,2020/03/14,5,0
1488,阿尔巴尼亚,2020/03/15,4,0
1489,阿尔巴尼亚,2020/03/16,9,0
1490,阿尔巴尼亚,2020/03/17,4,0
1491,阿尔巴尼亚,2020/03/18,4,1
1492,阿尔巴尼亚,2020/03/19,5,0
1493,阿尔巴尼亚,2020/03/20,6,0
1494,阿尔巴尼亚,2020/03/21,6,0
1495,阿尔巴尼亚,2020/03/22,13,0
1496,阿尔巴尼亚,2020/03/23,15,2
1497,阿尔巴尼亚,2020/03/24,19,1
1498,阿尔巴尼亚,2020/03/25,23,0
1499,阿尔巴尼亚,2020/03/26,28,1
1500,阿尔巴尼亚,2020/03/27,12,2
1501,阿尔巴尼亚,2020/03/28,11,2
1502,阿尔巴尼亚,2020/03/29,15,0
1503,阿尔巴尼亚,2020/03/30,11,1
1504,阿尔巴尼亚,2020/03/31,20,4
1505,阿尔巴尼亚,2020/04/01,16,0
1506,阿尔巴尼亚,2020/04/02,18,1
1507,阿尔巴尼亚,2020/04/03,27,1
1508,阿尔巴尼亚,2020/04/04,29,3
1509,阿尔巴尼亚,2020/04/05,28,0
1510,阿尔巴尼亚,2020/04/06,16,1
1511,阿尔巴尼亚,2020/04/07,6,1
1512,阿尔巴尼亚,2020/04/08,17,0
1513,阿尔巴尼亚,2020/04/09,9,1
1514,阿尔巴尼亚,2020/04/10,7,0
1515,阿尔巴尼亚,2020/04/11,17,0
1516,阿尔巴尼亚,2020/04/12,13,0
1517,阿尔巴尼亚,2020/04/13,21,0
1518,阿尔巴尼亚,2020/04/14,8,1
1519,阿尔巴尼亚,2020/04/15,19,1
1520,阿尔巴尼亚,2020/04/16,24,1
1521,阿尔巴尼亚,2020/04/17,21,0
1522,阿尔巴尼亚,2020/04/18,9,0
1523,阿尔巴尼亚,2020/04/19,14,0
1524,阿尔巴尼亚,2020/04/20,22,0
1525,阿尔巴尼亚,2020/04/21,25,0
1526,阿尔巴尼亚,2020/04/22,25,1
1527,阿尔巴尼亚,2020/04/23,29,0
1528,阿尔巴尼亚,2020/04/24,15,0
1529,阿尔巴尼亚,2020/04/25,34,0
1530,阿尔巴尼亚,2020/04/26,14,1
1531,阿尔巴尼亚,2020/04/27,10,0
1532,阿尔巴尼亚,2020/04/28,14,2
1533,阿尔巴尼亚,2020/04/29,16,0
1534,阿尔巴尼亚,2020/04/30,7,1
1535,阿尔巴尼亚,2020/05/01,9,0
1536,阿尔巴尼亚,2020/05/02,7,0
1537,阿尔巴尼亚,2020/05/03,6,0
1538,阿尔巴尼亚,2020/05/04,8,0
1539,阿尔巴尼亚,2020/05/05,17,0
1540,阿尔巴尼亚,2020/05/06,12,0
1541,阿尔巴尼亚,2020/05/07,10,0
1542,阿尔巴尼亚,2020/05/08,8,0
1543,阿尔巴尼亚,2020/05/09,6,0
1544,阿尔巴尼亚,2020/05/10,12,0
1545,阿尔巴尼亚,2020/05/11,4,0
1546,阿尔巴尼亚,2020/05/12,4,0
1547,阿尔巴尼亚,2020/05/13,4,0
1548,阿尔巴尼亚,2020/05/14,18,0
1549,阿尔巴尼亚,2020/05/15,18,0
1550,阿尔巴尼亚,2020/05/16,17,0
1551,阿尔巴尼亚,2020/05/17,13,0
1552,阿尔巴尼亚,2020/05/18,2,0
1553,阿尔巴尼亚,2020/05/19,1,0
1554,阿尔巴尼亚,2020/05/20,15,0
1555,阿尔巴尼亚,2020/05/21,5,0
1556,阿尔巴尼亚,2020/05/22,12,0
1557,阿尔巴尼亚,2020/05/23,8,0
1558,阿尔巴尼亚,2020/05/24,9,1
1559,阿尔巴尼亚,2020/05/25,6,0
1560,阿尔巴尼亚,2020/05/26,25,1
1561,阿尔巴尼亚,2020/05/27,21,0
1562,阿尔巴尼亚,2020/05/28,26,0
1563,阿尔巴尼亚,2020/05/29,23,0
1564,阿尔巴尼亚,2020/05/30,23,0
1565,阿尔巴尼亚,2020/05/31,15,0
1566,阿尔巴尼亚,2020/06/01,6,0
1567,阿尔巴尼亚,2020/06/02,21,0
1568,阿尔巴尼亚,2020/06/03,20,0
1569,阿尔巴尼亚,2020/06/04,13,0
1570,阿尔巴尼亚,2020/06/05,15,0
1571,阿尔巴尼亚,2020/06/06,20,1
1572,阿尔巴尼亚,2020/06/07,14,0
1573,阿尔巴尼亚,2020/06/08,17,0
1574,阿尔巴尼亚,2020/06/09,36,0
1575,阿尔巴尼亚,2020/06/10,42,0
1576,阿尔巴尼亚,2020/06/11,44,1
1577,阿尔巴尼亚,2020/06/12,31,1
1578,阿尔巴尼亚,2020/06/13,48,0
1579,阿尔巴尼亚,2020/06/14,57,0
1580,阿尔巴尼亚,2020/06/15,69,0
1581,阿尔巴尼亚,2020/06/16,82,1
1582,阿尔巴尼亚,2020/06/17,50,1
1583,阿尔巴尼亚,2020/06/18,66,1
1584,阿尔巴尼亚,2020/06/19,50,3
1585,阿尔巴尼亚,2020/06/20,53,1
1586,阿尔巴尼亚,2020/06/21,71,1
1587,阿尔巴尼亚,2020/06/22,33,0
1588,阿尔巴尼亚,2020/06/23,52,1
1589,阿尔巴尼亚,2020/06/24,67,2
1590,阿尔巴尼亚,2020/06/25,78,2
1591,阿尔巴尼亚,2020/06/26,77,2
1592,阿尔巴尼亚,2020/06/27,61,2
1593,阿尔巴尼亚,2020/06/28,72,2
1594,阿尔巴尼亚,2020/06/29,64,3
1595,阿尔巴尼亚,2020/06/30,69,4
1596,阿尔巴尼亚,2020/07/01,45,3
1597,阿尔巴尼亚,2020/07/02,82,4
1598,阿尔巴尼亚,2020/07/03,90,3
1599,阿尔巴尼亚,2020/07/04,67,2
1600,阿尔巴尼亚,2020/07/05,74,2
1601,阿尔巴尼亚,2020/07/06,71,3
1602,阿尔巴尼亚,2020/07/07,74,2
1603,阿尔巴尼亚,2020/07/08,68,2
1604,阿尔巴尼亚,2020/07/09,82,0
1605,阿尔巴尼亚,2020/07/10,90,2
1606,阿尔巴尼亚,2020/07/11,93,4
1607,阿尔巴尼亚,2020/07/12,83,4
1608,阿尔巴尼亚,2020/07/13,117,2
1609,阿尔巴尼亚,2020/07/14,96,2
1610,阿尔巴尼亚,2020/07/15,85,4
1611,阿尔巴尼亚,2020/07/16,99,3
1612,阿尔巴尼亚,2020/07/17,55,3
1613,阿尔巴尼亚,2020/07/18,102,4
1614,阿尔巴尼亚,2020/07/19,82,1
1615,阿尔巴尼亚,2020/07/20,81,1
1616,阿尔巴尼亚,2020/07/21,119,4
1617,阿尔巴尼亚,2020/07/22,68,3
1618,阿尔巴尼亚,2020/07/23,108,3
1619,阿尔巴尼亚,2020/07/24,104,5
1620,阿尔巴尼亚,2020/07/25,67,6
1621,阿尔巴尼亚,2020/07/26,126,4
1622,阿尔巴尼亚,2020/07/27,117,6
1623,阿尔巴尼亚,2020/07/28,117,4
1624,阿尔巴尼亚,2020/07/29,108,2
1625,阿尔巴尼亚,2020/07/30,92,4
1626,阿尔巴尼亚,2020/07/31,79,3
1627,阿尔巴尼亚,2020/08/01,120,4
1628,阿尔巴尼亚,2020/08/02,123,5
1629,阿尔巴尼亚,2020/08/03,101,6
1630,阿尔巴尼亚,2020/08/04,130,4
1631,阿尔巴尼亚,2020/08/05,139,6
1632,阿尔巴尼亚,2020/08/06,127,6
1633,阿尔巴尼亚,2020/08/07,135,1
1634,阿尔巴尼亚,2020/08/08,124,4
1635,阿尔巴尼亚,2020/08/09,136,6
1636,阿尔巴尼亚,2020/08/10,125,1
1637,阿尔巴尼亚,2020/08/11,140,5
1638,阿尔巴尼亚,2020/08/12,141,3
1639,阿尔巴尼亚,2020/08/13,154,5
1640,阿尔巴尼亚,2020/08/14,146,6
1641,阿尔巴尼亚,2020/08/15,143,6
1642,阿尔巴尼亚,2020/08/16,120,3
1643,阿尔巴尼亚,2020/08/17,119,2
1644,阿尔巴尼亚,2020/08/18,155,2
1645,阿尔巴尼亚,2020/08/19,158,2
1646,阿尔巴尼亚,2020/08/20,155,4
1647,阿尔巴尼亚,2020/08/21,152,2
1648,阿尔巴尼亚,2020/08/22,156,5
1649,阿尔巴尼亚,2020/08/23,152,5
1650,阿尔巴尼亚,2020/08/24,178,4
1651,阿尔巴尼亚,2020/08/25,154,5
1652,阿尔巴尼亚,2020/08/26,168,4
1653,阿尔巴尼亚,2020/08/27,156,3
1654,阿尔巴尼亚,2020/08/28,112,5
1655,阿尔巴尼亚,2020/08/29,84,4
1656,阿尔巴尼亚,2020/08/30,101,5
2197,阿尔及利亚,2020/02/25,1,
2198,阿尔及利亚,2020/02/26,0,
2199,阿尔及利亚,2020/02/27,0,
2200,阿尔及利亚,2020/02/28,0,
2201,阿尔及利亚,2020/02/29,0,
2202,阿尔及利亚,2020/03/01,0,
2203,阿尔及利亚,2020/03/02,2,
2204,阿尔及利亚,2020/03/03,2,
2205,阿尔及利亚,2020/03/04,7,
2206,阿尔及利亚,2020/03/05,0,
2207,阿尔及利亚,2020/03/06,5,
2208,阿尔及利亚,2020/03/07,0,
2209,阿尔及利亚,2020/03/08,2,
2210,阿尔及利亚,2020/03/09,1,
2211,阿尔及利亚,2020/03/10,0,
2212,阿尔及利亚,2020/03/11,0,
2213,阿尔及利亚,2020/03/12,4,1
2214,阿尔及利亚,2020/03/13,2,1
2215,阿尔及利亚,2020/03/14,11,1
2216,阿尔及利亚,2020/03/15,11,1
2217,阿尔及利亚,2020/03/16,6,0
2218,阿尔及利亚,2020/03/17,6,0
2219,阿尔及利亚,2020/03/18,14,3
2220,阿尔及利亚,2020/03/19,13,2
2221,阿尔及利亚,2020/03/20,3,2
2222,阿尔及利亚,2020/03/21,49,4
2223,阿尔及利亚,2020/03/22,62,2
2224,阿尔及利亚,2020/03/23,29,0
2225,阿尔及利亚,2020/03/24,34,2
2226,阿尔及利亚,2020/03/25,38,2
2227,阿尔及利亚,2020/03/26,65,4
2228,阿尔及利亚,2020/03/27,42,1
2229,阿尔及利亚,2020/03/28,45,3
2230,阿尔及利亚,2020/03/29,57,2
2231,阿尔及利亚,2020/03/30,73,4
2232,阿尔及利亚,2020/03/31,132,9
2233,阿尔及利亚,2020/04/01,131,14
2234,阿尔及利亚,2020/04/02,139,28
2235,阿尔及利亚,2020/04/03,185,19
2236,阿尔及利亚,2020/04/04,80,25
2237,阿尔及利亚,2020/04/05,69,22
2238,阿尔及利亚,2020/04/06,103,21
2239,阿尔及利亚,2020/04/07,45,20
2240,阿尔及利亚,2020/04/08,104,12
2241,阿尔及利亚,2020/04/09,94,30
2242,阿尔及利亚,2020/04/10,95,21
2243,阿尔及利亚,2020/04/11,64,19
2244,阿尔及利亚,2020/04/12,89,18
2245,阿尔及利亚,2020/04/13,69,20
2246,阿尔及利亚,2020/04/14,87,13
2247,阿尔及利亚,2020/04/15,90,10
2248,阿尔及利亚,2020/04/16,108,12
2249,阿尔及利亚,2020/04/17,150,16
2250,阿尔及利亚,2020/04/18,116,3
2251,阿尔及利亚,2020/04/19,95,8
2252,阿尔及利亚,2020/04/20,89,9
2253,阿尔及利亚,2020/04/21,93,8
2254,阿尔及利亚,2020/04/22,99,10
2255,阿尔及利亚,2020/04/23,97,5
2256,阿尔及利亚,2020/04/24,120,8
2257,阿尔及利亚,2020/04/25,129,4
2258,阿尔及利亚,2020/04/26,126,6
2259,阿尔及利亚,2020/04/27,135,7
2260,阿尔及利亚,2020/04/28,132,5
2261,阿尔及利亚,2020/04/29,199,7
2262,阿尔及利亚,2020/04/30,158,6
2263,阿尔及利亚,2020/05/01,148,3
2264,阿尔及利亚,2020/05/02,141,6
2265,阿尔及利亚,2020/05/03,179,4
2266,阿尔及利亚,2020/05/04,174,2
2267,阿尔及利亚,2020/05/05,190,5
2268,阿尔及利亚,2020/05/06,159,6
2269,阿尔及利亚,2020/05/07,185,7
2270,阿尔及利亚,2020/05/08,187,5
2271,阿尔及利亚,2020/05/09,189,6
2272,阿尔及利亚,2020/05/10,165,8
2273,阿尔及利亚,2020/05/11,168,5
2274,阿尔及利亚,2020/05/12,176,8
2275,阿尔及利亚,2020/05/13,186,7
2276,阿尔及利亚,2020/05/14,189,7
2277,阿尔及利亚,2020/05/15,187,7
2278,阿尔及利亚,2020/05/16,192,6
2279,阿尔及利亚,2020/05/17,198,6
2280,阿尔及利亚,2020/05/18,182,7
2281,阿尔及利亚,2020/05/19,176,6
2282,阿尔及利亚,2020/05/20,165,7
2283,阿尔及利亚,2020/05/21,186,7
2284,阿尔及利亚,2020/05/22,190,7
2285,阿尔及利亚,2020/05/23,195,10
2286,阿尔及利亚,2020/05/24,193,8
2287,阿尔及利亚,2020/05/25,197,9
2288,阿尔及利亚,2020/05/26,194,8
2289,阿尔及利亚,2020/05/27,160,6
2290,阿尔及利亚,2020/05/28,140,7
2291,阿尔及利亚,2020/05/29,137,8
2292,阿尔及利亚,2020/05/30,133,8
2293,阿尔及利亚,2020/05/31,127,7
2294,阿尔及利亚,2020/06/01,119,8
2295,阿尔及利亚,2020/06/02,113,6
2296,阿尔及利亚,2020/06/03,107,6
2297,阿尔及利亚,2020/06/04,98,8
2298,阿尔及利亚,2020/06/05,104,9
2299,阿尔及利亚,2020/06/06,115,8
2300,阿尔及利亚,2020/06/07,104,9
2301,阿尔及利亚,2020/06/08,111,8
2302,阿尔及利亚,2020/06/09,117,9
2303,阿尔及利亚,2020/06/10,102,8
2304,阿尔及利亚,2020/06/11,105,9
2305,阿尔及利亚,2020/06/12,109,10
2306,阿尔及利亚,2020/06/13,112,9
2307,阿尔及利亚,2020/06/14,109,7
2308,阿尔及利亚,2020/06/15,112,10
2309,阿尔及利亚,2020/06/16,116,11
2310,阿尔及利亚,2020/06/17,121,11
2311,阿尔及利亚,2020/06/18,117,12
2312,阿尔及利亚,2020/06/19,119,14
2313,阿尔及利亚,2020/06/20,127,12
2314,阿尔及利亚,2020/06/21,140,8
2315,阿尔及利亚,2020/06/22,149,7
2316,阿尔及利亚,2020/06/23,156,9
2317,阿尔及利亚,2020/06/24,172,8
2318,阿尔及利亚,2020/06/25,197,9
2319,阿尔及利亚,2020/06/26,240,7
2320,阿尔及利亚,2020/06/27,283,7
2321,阿尔及利亚,2020/06/28,305,5
2322,阿尔及利亚,2020/06/29,298,8
2323,阿尔及利亚,2020/06/30,336,7
2324,阿尔及利亚,2020/07/01,365,8
2325,阿尔及利亚,2020/07/02,385,8
2326,阿尔及利亚,2020/07/03,413,9
2327,阿尔及利亚,2020/07/04,430,9
2328,阿尔及利亚,2020/07/05,441,6
2329,阿尔及利亚,2020/07/06,463,7
2330,阿尔及利亚,2020/07/07,475,9
2331,阿尔及利亚,2020/07/08,469,10
2332,阿尔及利亚,2020/07/09,460,10
2333,阿尔及利亚,2020/07/10,434,8
2334,阿尔及利亚,2020/07/11,470,8
2335,阿尔及利亚,2020/07/12,483,7
2336,阿尔及利亚,2020/07/13,494,7
2337,阿尔及利亚,2020/07/14,527,10
2338,阿尔及利亚,2020/07/15,554,12
2339,阿尔及利亚,2020/07/16,585,12
2340,阿尔及利亚,2020/07/17,593,5
2341,阿尔及利亚,2020/07/18,601,11
2342,阿尔及利亚,2020/07/19,535,10
2343,阿尔及利亚,2020/07/20,607,9
2344,阿尔及利亚,2020/07/21,587,13
2345,阿尔及利亚,2020/07/22,594,11
2346,阿尔及利亚,2020/07/23,612,13
2347,阿尔及利亚,2020/07/24,675,12
2348,阿尔及利亚,2020/07/25,605,10
2349,阿尔及利亚,2020/07/26,593,9
2350,阿尔及利亚,2020/07/27,616,8
2351,阿尔及利亚,2020/07/28,642,11
2352,阿尔及利亚,2020/07/29,614,12
2353,阿尔及利亚,2020/07/30,602,14
2354,阿尔及利亚,2020/07/31,563,10
2355,阿尔及利亚,2020/08/01,556,13
2356,阿尔及利亚,2020/08/02,515,8
2357,阿尔及利亚,2020/08/03,507,8
2358,阿尔及利亚,2020/08/04,532,9
2359,阿尔及利亚,2020/08/05,551,13
2360,阿尔及利亚,2020/08/06,571,12
2361,阿尔及利亚,2020/08/07,529,9
2362,阿尔及利亚,2020/08/08,538,11
2363,阿尔及利亚,2020/08/09,467,9
2364,阿尔及利亚,2020/08/10,552,10
2365,阿尔及利亚,2020/08/11,492,10
2366,阿尔及利亚,2020/08/12,495,11
2367,阿尔及利亚,2020/08/13,488,8
2368,阿尔及利亚,2020/08/14,477,10
2369,阿尔及利亚,2020/08/15,469,9
2370,阿尔及利亚,2020/08/16,450,10
2371,阿尔及利亚,2020/08/17,442,9
2372,阿尔及利亚,2020/08/18,419,12
2373,阿尔及利亚,2020/08/19,403,11
2374,阿尔及利亚,2020/08/20,411,9
2375,阿尔及利亚,2020/08/21,409,7
2376,阿尔及利亚,2020/08/22,401,6
2377,阿尔及利亚,2020/08/23,392,11
2378,阿尔及利亚,2020/08/24,398,11
2379,阿尔及利亚,2020/08/25,370,10
2380,阿尔及利亚,2020/08/26,391,9
2381,阿尔及利亚,2020/08/27,397,10
2382,阿尔及利亚,2020/08/28,387,8
2383,阿尔及利亚,2020/08/29,378,8
2384,阿尔及利亚,2020/08/30,365,10
2925,安道尔,2020/03/02,1,
2926,安道尔,2020/03/03,0,
2927,安道尔,2020/03/04,0,
2928,安道尔,2020/03/05,0,
2929,安道尔,2020/03/06,0,
2930,安道尔,2020/03/07,0,
2931,安道尔,2020/03/08,0,
2932,安道尔,2020/03/09,0,
2933,安道尔,2020/03/10,0,
2934,安道尔,2020/03/11,0,
2935,安道尔,2020/03/12,0,
2936,安道尔,2020/03/13,0,
2937,安道尔,2020/03/14,0,
2938,安道尔,2020/03/15,0,
2939,安道尔,2020/03/16,1,
2940,安道尔,2020/03/17,37,
2941,安道尔,2020/03/18,0,
2942,安道尔,2020/03/19,14,
2943,安道尔,2020/03/20,22,
2944,安道尔,2020/03/21,13,
2945,安道尔,2020/03/22,25,1
2946,安道尔,2020/03/23,20,0
2947,安道尔,2020/03/24,31,0
2948,安道尔,2020/03/25,24,0
2949,安道尔,2020/03/26,36,2
2950,安道尔,2020/03/27,43,0
2951,安道尔,2020/03/28,41,0
2952,安道尔,2020/03/29,26,3
2953,安道尔,2020/03/30,36,2
2954,安道尔,2020/03/31,6,4
2955,安道尔,2020/04/01,14,2
2956,安道尔,2020/04/02,38,1
2957,安道尔,2020/04/03,11,1
2958,安道尔,2020/04/04,27,1
2959,安道尔,2020/04/05,35,1
2960,安道尔,2020/04/06,24,3
2961,安道尔,2020/04/07,20,1
2962,安道尔,2020/04/08,19,1
2963,安道尔,2020/04/09,19,2
2964,安道尔,2020/04/10,18,1
2965,安道尔,2020/04/11,0,0
2966,安道尔,2020/04/12,37,3
2967,安道尔,2020/04/13,8,0
2968,安道尔,2020/04/14,13,2
2969,安道尔,2020/04/15,14,2
2970,安道尔,2020/04/16,0,0
2971,安道尔,2020/04/17,23,2
2972,安道尔,2020/04/18,8,0
2973,安道尔,2020/04/19,9,1
2974,安道尔,2020/04/20,4,1
2975,安道尔,2020/04/21,0,0
2976,安道尔,2020/04/22,6,0
2977,安道尔,2020/04/23,0,0
2978,安道尔,2020/04/24,8,3
2979,安道尔,2020/04/25,7,0
2980,安道尔,2020/04/26,0,0
2981,安道尔,2020/04/27,5,0
2982,安道尔,2020/04/28,0,1
2983,安道尔,2020/04/29,0,1
2984,安道尔,2020/04/30,2,0
2985,安道尔,2020/05/01,0,1
2986,安道尔,2020/05/02,2,1
2987,安道尔,2020/05/03,1,1
2988,安道尔,2020/05/04,2,0
2989,安道尔,2020/05/05,1,1
2990,安道尔,2020/05/06,0,0
2991,安道尔,2020/05/07,1,1
2992,安道尔,2020/05/08,0,0
2993,安道尔,2020/05/09,2,1
2994,安道尔,2020/05/10,1,0
2995,安道尔,2020/05/11,0,0
2996,安道尔,2020/05/12,3,0
2997,安道尔,2020/05/13,2,1
2998,安道尔,2020/05/14,1,0
2999,安道尔,2020/05/15,0,0
3000,安道尔,2020/05/16,0,2
